Folder Name,Assert Count
unittests\ADT,7234
unittests\Analysis,1955
unittests\AsmParser,132
unittests\BinaryFormat,541
unittests\Bitcode,55
unittests\Bitstream,36
unittests\CodeGen,605
unittests\DebugInfo,1229
unittests\Demangle,51
unittests\ExecutionEngine,476
unittests\FuzzMutate,108
unittests\IR,3671
unittests\LineEditor,11
unittests\Linker,45
unittests\MC,34
unittests\MI,2
unittests\Object,124
unittests\ObjectYAML,92
unittests\Option,101
unittests\Passes,6
unittests\ProfileData,480
unittests\Remarks,266
unittests\Support,6391
unittests\TableGen,58
unittests\Target,108
unittests\TextAPI,400
unittests\tools,412
unittests\Transforms,952
unittests\XRay,190
